Timestamp,Source MAC,Destination MAC,Source Port,Destination Port,Length
2024-03-06 12:42:07.874,00:00:00:00:00:09,33:33:ff:00:00:09,1,4294967291,86
2024-03-06 12:42:07.894,00:00:00:00:00:0e,33:33:00:00:00:16,3,4294967291,110
2024-03-06 12:42:07.922,00:00:00:00:00:02,33:33:ff:00:00:02,3,4294967291,86
2024-03-06 12:42:07.974,00:00:00:00:00:04,33:33:ff:00:00:04,3,4294967291,86
2024-03-06 12:42:07.975,ce:d1:19:30:6e:2c,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:07.977,00:00:00:00:00:04,33:33:ff:00:00:04,2,4294967291,86
2024-03-06 12:42:07.978,00:00:00:00:00:04,33:33:ff:00:00:04,1,4294967291,86
2024-03-06 12:42:07.979,00:00:00:00:00:04,33:33:ff:00:00:04,1,4294967291,86
2024-03-06 12:42:07.979,00:00:00:00:00:04,33:33:ff:00:00:04,1,4294967291,86
2024-03-06 12:42:08.053,aa:4e:63:08:b2:3d,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:08.054,aa:4e:63:08:b2:3d,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:08.055,aa:4e:63:08:b2:3d,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:08.056,aa:4e:63:08:b2:3d,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:08.113,3e:8d:97:91:21:11,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:08.115,00:00:00:00:00:03,33:33:00:00:00:16,2,4294967291,110
2024-03-06 12:42:08.116,00:00:00:00:00:03,33:33:00:00:00:16,2,4294967291,110
2024-03-06 12:42:08.117,00:00:00:00:00:03,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.118,00:00:00:00:00:03,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.119,00:00:00:00:00:03,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.236,00:00:00:00:00:0a,33:33:00:00:00:16,2,4294967291,110
2024-03-06 12:42:08.238,00:00:00:00:00:04,33:33:00:00:00:16,3,4294967291,110
2024-03-06 12:42:08.242,00:00:00:00:00:04,33:33:00:00:00:16,2,4294967291,110
2024-03-06 12:42:08.245,00:00:00:00:00:04,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.247,00:00:00:00:00:04,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.249,00:00:00:00:00:04,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.263,9a:a4:05:fe:d8:9d,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:08.265,00:00:00:00:00:01,33:33:00:00:00:16,2,4294967291,110
2024-03-06 12:42:08.267,00:00:00:00:00:01,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.270,00:00:00:00:00:01,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.271,00:00:00:00:00:01,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.273,00:00:00:00:00:01,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.303,ce:d1:19:30:6e:2c,33:33:ff:30:6e:2c,1,4294967291,86
2024-03-06 12:42:08.351,00:00:00:00:00:09,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.354,00:00:00:00:00:0e,33:33:ff:00:00:0e,3,4294967291,86
2024-03-06 12:42:08.359,00:00:00:00:00:06,33:33:00:00:00:16,3,4294967291,110
2024-03-06 12:42:08.363,00:00:00:00:00:06,33:33:00:00:00:16,3,4294967291,110
2024-03-06 12:42:08.367,00:00:00:00:00:06,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.368,00:00:00:00:00:06,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.369,00:00:00:00:00:06,33:33:00:00:00:16,1,4294967291,110
2024-03-06 12:42:08.443,96:24:0c:b7:60:49,33:33:00:00:00:16,2,4294967291,90
2024-03-06 12:42:08.446,00:00:00:00:00:01,33:33:ff:00:00:01,2,4294967291,86
2024-03-06 12:42:08.450,00:00:00:00:00:05,33:33:ff:00:00:05,2,4294967291,86
2024-03-06 12:42:08.452,00:00:00:00:00:03,33:33:ff:00:00:03,2,4294967291,86
2024-03-06 12:42:08.459,96:24:0c:b7:60:49,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:08.461,96:24:0c:b7:60:49,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:08.463,96:24:0c:b7:60:49,33:33:00:00:00:16,1,4294967291,90
2024-03-06 12:42:08.466,00:00:00:00:00:01,33:33:ff:00:00:01,1,4294967291,86
2024-03-06 12:42:08.468,00:00:00:00:00:05,33:33:ff:00:00:05,3,4294967291,86
2024-03-06 12:42:08.469,00:00:00:00:00:03,33:33:ff:00:00:03,2,4294967291,86
2024-03-06 12:42:08.472,00:00:00:00:00:01,33:33:ff:00:00:01,1,4294967291,86
2024-03-06 12:42:08.473,00:00:00:00:00:05,33:33:ff:00:00:05,1,4294967291,86
2024-03-06 12:42:08.475,00:00:00:00:00:01,33:33:ff:00:00:01,1,4294967291,86
2024-03-06 12:42:08.476,00:00:00:00:00:03,33:33:ff:00:00:03,1,4294967291,86
2024-03-06 12:42:08.477,00:00:00:00:00:01,33:33:ff:00:00:01,1,4294967291,86
2024-03-06 12:42:08.478,00:00:00:00:00:05,33:33:ff:00:00:05,1,4294967291,86
2024-03-06 12:42:08.479,00:00:00:00:00:03,33:33:ff:00:00:03,1,4294967291,86
2024-03-06 12:42:08.480,00:00:00:00:00:05,33:33:ff:00:00:05,1,4294967291,86
2024-03-06 12:42:08.481,00:00:00:00:00:03,33:33:ff:00:00:03,1,4294967291,86
2024-03-06 12:42:08.486,c6:ea:24:87:59:b6,33:33:ff:87:59:b6,4,4294967291,86
2024-03-06 12:42:08.487,00:00:00:00:00:05,33:33:00:00:00:16,2,4294967291,110
2024-03-06 12:42:08.489,9a:a4:05:fe:d8:9d,33:33:ff:fe:d8:9d,1,4294967291,86
2024-03-06 12:42:08.491,c6:ea:24:87:59:b6,33:33:ff:87:59:b6,1,4294967291,86
2024-03-06 12:42:08.492,00:00:00:00:00:05,33:33:00:00:00:16,3,4294967291,110
2024-03-06 12:42:08.494,c6:ea:24:87:59:b6,33:33:ff:87:59:b6,1,4294967291,86
